Nom;Date;Heure
D479362 LA JUMENT VERTE;2021-07-29;09:30:00
D472120 TOUSEG RU;2021-07-29;09:30:00
D473713 LA BRASSERIE MODERNE;2021-07-21;09:00:00
D474313 CHEZ BILOU;2021-07-13;09:00:00
D474456 LA TAVERNE;2021-07-29;11:00:00
D474590 LE TRISKELL;2021-07-12;11:00:00
D477698 L HERMINE;2021-07-26;13:00:00
D477775 LE CASINO;2021-07-13;15:00:00
D478212 BAR DES SPORTS;2021-07-20;09:30:00
D332275 LE DIPLOMATE;2021-07-29;09:00:00
D189817 LE GALION;2021-07-28;09:00:00
D474303 LE PETIT TROU;2021-07-12;15:00:00
D153240 LA CERES;2021-07-29;15:00:00
D478158 BAR L ENTRACTE;2021-07-28;14:00:00
D331538 BAR TABAC LA ROCHE AU FEES;2021-07-12;15:00:00
D443893 LE SAULNIER;2021-07-12;13:30:00
D448872 ILIZ KAFE;2021-07-21;09:30:00
D174226 BAR TABAC LES BEAUX ARTS;2021-07-29;13:30:00
D395756 LE SEL ANN;2021-07-12;11:00:00
D417038 LA FONTAINE;2021-07-13;13:30:00
D397563 CHEZ DAN ET CHRIS;2021-07-22;15:00:00
D451730 LA TERRASSE;2021-07-20;13:30:00
D132169 TABAC PRESSE;2021-07-20;11:00:00
D373810 L'AUDOMAROIS;2021-07-27;13:30:00
D386921 TABAC EPICERIE;2021-07-27;09:00:00
D473204 G2C AUTO;2021-07-22;15:00:00
D474334 HALLES DIS;2021-07-27;15:00:00
D475140 AU VIEUX FOUR DES LANDES;2021-07-13;11:00:00
D475044 RESTAUROUTE;2021-07-15;09:00:00
D477323 TRUC MUCH;2021-07-29;09:00:00
D477800 LE BAR D ETIVAL;2021-07-22;09:30:00
D281549 BAR TABAC DE LA PAIX;2021-07-21;09:00:00
D316430 LE WILSON;2021-07-27;09:00:00
D478962 CAFE DE LA MAIRIE;2021-07-27;15:30:00
D473918 LA CROIX VERTE;2021-07-29;11:00:00
D478713 LE CADRAN SOLAIRE  BEGANNE;2021-07-12;13:00:00
D325986 LE CEDRE BLEU;2021-07-12;15:00:00
D472976 LE LUMINOIS;2021-07-22;13:30:00
D132959 BAR DES SPORTS;2021-07-23;09:30:00
D470717 LA MICH DORE;2021-07-20;15:00:00
D297044 LE ST DONATIEN;2021-07-15;09:30:00
D471623 LE NAJA;2021-07-15;11:00:00
D364615 LE BDM;2021-07-20;09:30:00
D471886 L AUTHENTIC;2021-07-27;09:30:00
D471818 LES ARCADES;2021-07-29;15:00:00
D473538 LOUIS XVI;2021-07-15;14:00:00
D357228 LE ST LU;2021-07-29;11:00:00
D424610 LE SPORTING;2021-07-20;11:15:00
D348235 LE ST JACQUES;2021-07-28;10:00:00
D435593 CAFE DE LA MAIRIE;2021-07-16;09:30:00
D322781 A L ODA;2021-07-28;14:00:00
D324517 CAFE TABAC ALIMENTATION MEIGNE;2021-07-23;10:00:00
D450097 COCCIMARKET;2021-07-27;09:00:00
D342794 LA RENAISSANCE;2021-07-28;09:00:00
D304791 LES CRINS DORES;2021-07-27;09:00:00
D431115 LA SOURCE;2021-07-28;10:30:00
D470182 CHEZ NONO;2021-07-15;08:30:00
D343758 PAUS  CAFE;2021-07-27;10:30:00
D477075 LE CENOMANE;2021-07-29;11:00:00
D379298 LE VIEUX MOULIN;2021-07-29;14:00:00
D238695 LE PETOULET;2021-07-27;10:30:00
D366585 LE COLIBRI;2021-07-20;09:30:00
D324481 HOTEL DE LA GARE;2021-07-27;14:00:00
D231684 LA MARINE;2021-07-27;15:30:00
D301953 L AME STRAM GRAM;2021-07-15;11:30:00
D378296 L EMBARCADERE;2021-07-29;09:00:00
D323304 LE ST RIGOMER;2021-07-22;11:00:00
D427891 AU P TIT ROUEZIEN;2021-07-28;13:00:00
D289676 LE PAPYRUS;2021-07-20;09:00:00
D434630 LE DIPLOMATE;2021-07-20;11:00:00
D333165 LE MADISON;2021-07-13;10:30:00
D327633 BAR TABAC PRESSE;2021-07-16;09:00:00
D355336 BAR RESTAURANT L EVASION;2021-07-20;09:00:00
D476456 BAR TABAC LE CHANZY;2021-07-28;09:00:00
D350034 MONCHATRE;2021-07-15;09:00:00
D177261 BAR TABAC AU BON ACCUEIL;2021-07-15;10:30:00
D305460 VIVAL TABAC JOURNAUX;2021-07-29;13:30:00
D344737 BAR TABAC RESTO LE VENDEEN;2021-07-13;13:30:00
D388839 CAFE DES SPORTS PRESSE SNACK;2021-07-13;09:30:00
D476199 BT LE LOAVAN;2021-07-22;09:30:00
D319553 L AMI TEMPS;2021-07-20;14:30:00
D457010 BAR TABAC JOURNAUX;2021-07-20;11:30:00
D377821 LE TROQUET;2021-07-29;15:00:00
D451571 TABAC PRESSE EPICERIE;2021-07-27;09:30:00
D167019 VIVAL TABAC ALIMENTATION;2021-07-20;10:00:00
D435670 BAR TABAC PRESSE ALIM DES AMIS;2021-07-22;13:30:00
D430230 BAR EPICERIE SNACK LE RETRO;2021-07-27;11:00:00
D374943 TABAC PRESSE ALIMENTATION;2021-07-29;09:30:00
D191667 TABAC PRESSE;2021-07-22;11:00:00
D448113 PROXI;2021-07-22;10:30:00
D449390 VOTRE MARCHE ALIMENTATION;2021-07-27;13:30:00
D381150 LE CAFE DES HALLES;2021-07-29;15:00:00
D375457 LE CODE BAR;2021-07-20;15:00:00
D340575 TABAC CHEZ BEA;2021-07-28;15:30:00
D377682 LE KREISKER;2021-07-27;09:30:00
D291851 BAR TABAC LA SOURCE;2021-07-29;09:00:00
D354157 LE SAINT PATRICK;2021-07-27;11:00:00
D278002 AU PRE EN BULLE;2021-07-29;10:30:00
D471239 AU BISTROT GOURMAND;2021-07-27;09:00:00
D474565 LE TRISKELL;2021-07-27;10:30:00
D345029 LE VIRGIN BAR;2021-07-27;13:00:00
D383016 LE PARIS BREST;2021-07-27;14:30:00
D416239 CHEZ STEPH;2021-07-13;13:30:00
D384455 LE RELAIS DE MARGOT;2021-07-13;15:00:00
D324312 LE CHOUCHEN;2021-07-13;09:30:00
D277765 L INSOMNIA;2021-07-20;11:00:00
D286148 LE NEPTUNE;2021-07-28;15:00:00
D356371 TABAC PRESSE EPICERIE;2021-07-27;14:00:00
D470290 LE BREIZH BAR;2021-07-13;11:00:00
D377600 BAR DE LA FONTAINE;2021-07-29;13:30:00
D365275 CHEZ L AMI;2021-07-12;13:30:00
D133249 LA MI TEMPS;2021-07-27;15:30:00
D446731 LE COMPTOIR;2021-07-12;09:30:00
D437810 LE PTI T DEPANNEUR;2021-07-26;15:30:00
D227278 LE NAUTIL;2021-07-28;13:30:00
D277163 AUX 20 SCENES;2021-07-27;09:00:00
D352468 LE BARATIN;2021-07-22;09:30:00
D142447 LE RENDEZ VOUS;2021-07-22;15:00:00
D388411 L ESTAMINET;2021-07-22;11:00:00
D473471 BAR DES SPORTS;2021-07-21;09:00:00
D329032 STERENN;2021-07-15;09:00:00
D360985 LA CIGALE;2021-07-13;09:00:00
D438012 LE TY LULU;2021-07-13;10:30:00
D395533 O'BISTROT;2021-07-15;11:00:00
D264192 BAR TABAC;2021-07-15;09:00:00
D473188 LE KALIPSO;2021-07-15;13:30:00
D379304 LA GRANDE AUBERGE;2021-07-29;09:00:00
D316391 LE TERMINUS;2021-07-21;09:00:00
D477851 LE TONO DU VILLAGE;2021-07-13;13:00:00
D306251 TRISKELL;2021-07-23;11:00:00
D343416 L HERMINE;2021-07-29;09:00:00
D443412 LE WELCOME;2021-07-27;09:00:00
D32354 LE CAPRICORNE;2021-07-15;09:00:00
D408690 BAR TABAC LE RELAIS;2021-07-15;09:00:00
